I, [2017-08-17T16:10:06.223237 #93712]  INFO -- Kitchen: -----> Starting Kitchen (v1.17.0)
E, [2017-08-17T16:10:06.223819 #93712] ERROR -- Kitchen: ------Exception-------
E, [2017-08-17T16:10:06.223881 #93712] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-08-17T16:10:06.223907 #93712] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tech-a47/Documents/devops-node-test-app/.kitchen.yml does not exist.
E, [2017-08-17T16:10:06.223923 #93712] ERROR -- Kitchen: ----------------------
E, [2017-08-17T16:10:06.223937 #93712] ERROR -- Kitchen: ------Backtrace-------
E, [2017-08-17T16:10:06.223950 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-08-17T16:10:06.223968 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:147:in `data'
E, [2017-08-17T16:10:06.223982 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:126:in `suites'
E, [2017-08-17T16:10:06.223995 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:177:in `filter_instances'
E, [2017-08-17T16:10:06.224008 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:136:in `build_instances'
E, [2017-08-17T16:10:06.224021 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/config.rb:112:in `instances'
E, [2017-08-17T16:10:06.224035 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-08-17T16:10:06.224048 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-08-17T16:10:06.224061 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-08-17T16:10:06.224074 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2017-08-17T16:10:06.224090 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-08-17T16:10:06.224104 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-08-17T16:10:06.224117 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-08-17T16:10:06.224130 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-08-17T16:10:06.224143 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-08-17T16:10:06.224156 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-08-17T16:10:06.224169 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-08-17T16:10:06.224182 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-08-17T16:10:06.224195 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-08-17T16:10:06.224208 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-08-17T16:10:06.224225 #93712] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.17.0/bin/kitchen:13:in `<top (required)>'
E, [2017-08-17T16:10:06.224239 #93712] ERROR -- Kitchen: /usr/local/bin/kitchen:263:in `load'
E, [2017-08-17T16:10:06.224252 #93712] ERROR -- Kitchen: /usr/local/bin/kitchen:263:in `<main>'
E, [2017-08-17T16:10:06.224279 #93712] ERROR -- Kitchen: ----End Backtrace-----
